ACHE|43,0.1089892,0.11277088,1.8721161,1.7236384,1.0069048,2.13798,2.0391169,1.8886712,1.0204421,0.3678979
ACOX2|8309,0.035432484,1.0466379,3.1612272,1.4656224,0.6855715,2.2440774,0.64060503,1.7015699,1.9338294,0.79102576
ACOXL|55289,0.030392978,1.2547027,2.480941,2.2861602,0.9915058,2.849035,1.0470601,1.3870661,1.1065322,0.08469249
ACPP|55,1.4240069,1.5585495,1.8379043,1.291836,1.5818212,1.1303462,0.26985237,0.15005276,0.38800853,0.85210025
ACSL5|51703,0.030048467,1.2971926,3.0951226,1.901392,1.539316,2.3592536,1.3973978,2.1544597,1.3842211,1.2809203
ACSL6|23305,0.047334846,0.3061351,1.8341614,1.4286202,1.1593348,2.3114893,2.1643744,1.6355174,0.4526794,0.64500797
ACSM1|116285,0.033573605,1.3755062,1.7016941,1.1947734,0.19391245,1.8531517,0.9450311,0.9706729,1.2317895,1.3986628
ACSM3|6296,0.052330196,1.5534691,1.5713545,2.3492734,0.58394396,2.6305265,1.3013468,1.7811538,1.4625213,0.09397009
ACSM5|54988,0.015430478,1.1430187,3.5406418,2.14396,1.3439513,3.0864663,1.0524142,1.0911428,1.240817,1.393923
ACSS3|79611,0.03860322,0.4384309,1.569192,2.2814724,1.0854211,2.0615916,0.6612384,0.9310636,2.003065,0.8749136
ACTA2|59,0.06500266,0.34451264,3.0224342,1.4474968,1.5205748,1.5668372,1.0755672,0.74839634,2.0531614,2.045059
ACTBL2|345651,0.015674476,1.2089608,2.5169735,1.0263345,1.3962224,1.5235215,0.77457315,1.8033128,1.3446238,1.042169
ACTC1|70,0.93275285,0.030291738,2.1023624,0.76226676,1.1761816,1.6901716,0.38762176,0.14069346,1.6780539,1.834793
ACTG2|72,0.109918386,0.09239515,2.5680468,1.1437271,1.0980803,1.9184387,0.9346319,0.51404935,2.9249723,2.1388345
ACTL8|81569,1.5227811,1.659143,0.7290678,1.9275439,1.6445581,1.3805262,0.08937565,0.44151548,0.56987023,1.7238756
ACTN2|88,0.76724666,0.7144308,1.6531503,1.6682873,0.030226627,3.6617978,1.5445552,1.2071621,1.0687644,0.68605363
ACVR1C|130399,1.87749,1.0197638,1.4877045,0.5668434,1.6722742,0.47585645,1.797952,1.0733391,0.3552029,1.0694236
ACY3|91703,0.05503228,0.5408621,2.1382742,1.754695,1.539934,2.3832586,1.3583381,1.208464,0.18809879,1.3126712
ADAD2|161931,1.8126678,1.3295953,1.3024626,0.8496339,1.3855172,1.0403302,0.041994542,0.5356443,0.74308205,1.2474853
ADAM11|4185,2.1249566,0.3384006,1.306564,1.2724502,0.958732,1.1221944,1.3393494,1.212999,0.4628772,1.2311453
ADAM12|8038,0.5232881,0.08584306,2.7287939,1.4962776,1.9432571,0.47860822,1.1719438,0.71076274,1.5859869,1.9478706
ADAM19|8728,0.059182104,0.1391716,2.2487712,1.8078357,1.633551,1.306096,1.0817959,1.6975888,1.3650162,1.7368734
ADAM21|8747,0.37122145,0.50291747,0.4054517,1.3856221,0.78252816,1.8662641,1.3109843,1.6630561,1.2099178,0.9800038
ADAM22|53616,0.08424312,0.02343792,0.9715288,1.4478449,0.96288955,2.1691775,1.6218549,1.7497935,1.6957271,1.2710383
ADAM23|8745,1.7476827,0.42764434,1.6574671,0.850559,1.6298589,0.3956321,1.9210098,0.36639485,0.7864198,1.6402476
ADAM28|10863,0.061002485,0.71464086,3.3596644,2.5883894,1.036459,2.7997634,1.2382274,1.3904612,0.20130558,0.47847688
ADAM32|203102,0.9457275,0.55552065,1.3589594,1.5180206,1.8939198,1.438985,1.6060121,0.90390104,0.1877373,1.6795142
ADAM33|80332,0.054497056,0.9007469,1.9389219,2.2541435,0.29226863,1.8298328,0.071453676,1.7041459,1.3737233,3.5469344
ADAM6|8755,0.066782236,0.6721938,2.5283337,2.3902788,2.3531175,3.0494883,1.6912578,0.13156591,0.41304076,1.6623034
ADAM8|101,0.039052907,0.70708007,2.6544347,1.701205,1.3867502,1.5656191,1.180062,1.9904425,1.0699359,1.4761248
ADAMDEC1|27299,0.033719808,0.05970596,2.6912975,2.2060091,2.0718417,3.0212576,2.094201,0.6006929,0.5019248,1.2137179
ADAMTS10|81794,0.055678677,0.5183498,2.7109756,2.2314196,1.227931,2.2901685,1.0193495,1.71735,1.8309716,2.2009754
ADAMTS12|81792,0.047945555,0.086460225,2.1331391,2.1298904,1.5409515,1.2213703,0.84750503,0.6916785,2.7065399,2.5240026
ADAMTS13|11093,1.1793803,0.9397528,1.4099474,1.6730732,0.6421172,0.8994544,0.87226963,1.697381,0.13556536,1.3948963
ADAMTS14|140766,0.14819573,0.10584475,2.0997043,2.0766017,1.370235,0.94882154,0.85431665,2.01388,1.7101362,2.6401107
ADAMTS15|170689,0.016190339,1.0564115,2.4175153,0.8284692,1.5086178,0.84263855,0.68233156,0.964368,1.5481305,1.971991
